host_response_rate,host_acceptance_rate,host_listings_count,latitude,longitude,city,zipcode,state,accommodates,room_type,bedrooms,bathrooms,beds,price,cleaning_fee,security_deposit,minimum_nights,maximum_nights,number_of_reviews
100%,,1.0,48.83349000000001,2.31852,Paris,75014,Île-de-France,2,Entire home/apt,0.0,1.0,0.0,$75.00,$50.00,$0.00,3,15,8
100%,,1.0,48.851000000000006,2.35869,Paris,75004,Ile-de-France,2,Entire home/apt,0.0,1.0,1.0,$115.00,$36.00,$0.00,1,90,173
100%,,2.0,48.85758,2.35275,Paris,75004,Île-de-France,4,Entire home/apt,2.0,1.0,2.0,$115.00,$50.00,$200.00,10,23,243
100%,,1.0,48.86528,2.3932599999999997,Paris,75020,Ile-de-France,3,Entire home/apt,1.0,1.0,1.0,$90.00,,,3,365,1
67%,,3.0,48.85899000000001,2.34735,Paris,75001,Île-de-France,2,Entire home/apt,1.0,1.0,1.0,$75.00,$200.00,"$1,500.00",180,365,0
100%,,1.0,48.86227,2.37134,Paris,75011,Ile-de-France,2,Entire home/apt,1.0,1.0,1.0,$75.00,$20.00,$250.00,5,120,17
,,4.0,48.88902,2.3465599999999998,Paris,75018,Ile-de-France,4,Entire home/apt,,1.0,1.0,$80.00,$36.00,$800.00,90,730,42
,,4.0,48.889179999999996,2.3449,Paris,75018,Ile-de-France,3,Entire home/apt,,1.0,1.0,$75.00,,$400.00,30,730,16
100%,,1.0,48.879,2.31608,Paris,75008,Ile-de-France,4,Entire home/apt,1.0,1.0,2.0,$90.00,$60.00,$600.00,3,730,40
100%,,2.0,48.8467,2.35095,Paris,75005,Île-de-France,2,Entire home/apt,0.0,1.0,1.0,$75.00,,,2,1125,336
74%,,2.0,48.8711,2.3742400000000004,Paris,75011,Île-de-France,6,Entire home/apt,1.0,1.0,3.0,$157.00,,,1,730,116
100%,,1.0,48.88434,2.34005,Paris,75018,Île-de-France,2,Entire home/apt,1.0,1.0,1.0,$100.00,$80.00,$600.00,7,90,13
75%,,1.0,48.8635,2.3696099999999998,Paris,75011,Ile-de-France,2,Entire home/apt,,1.0,1.0,$70.00,$60.00,"$1,000.00",7,730,2
100%,,1.0,48.82405,2.36828,Paris,75013,Île-de-France,3,Entire home/apt,1.0,1.0,1.0,$110.00,$30.00,$600.00,2,20,78
90%,,1.0,48.86578,2.37705,Paris,75011,Ile-de-France,3,Entire home/apt,0.0,1.0,2.0,$79.00,$25.00,$500.00,30,305,312
,,2.0,48.8509,2.38695,Paris,75011,Ile-de-France,2,Private room,1.0,1.0,1.0,$60.00,$20.00,$80.00,6,40,1
100%,,1.0,48.85909,2.37704,Paris,75011,Île-de-France,4,Entire home/apt,2.0,1.0,3.0,$100.00,$50.00,$500.00,5,90,11
60%,,1.0,48.88315,2.34158,Paris,75018,Île-de-France,2,Entire home/apt,1.0,1.0,1.0,$110.00,$30.00,$500.00,7,365,9
,,1.0,48.89052,2.34453,Paris,75018,IDF,3,Entire home/apt,0.0,1.0,0.0,$75.00,$20.00,$0.00,3,120,200
100%,,2.0,48.83616,2.3632299999999997,Paris,75013,Ile-de-France,5,Entire home/apt,1.0,1.0,3.0,$55.00,$50.00,$250.00,4,730,23
100%,,2.0,48.85339000000001,2.3628400000000003,Paris,75004,Île-de-France,2,Entire home/apt,1.0,1.0,1.0,$78.00,$30.00,$250.00,5,9,339
100%,,9.0,48.85324,2.34171,Paris,75006,Ile-de-France,4,Private room,1.0,1.5,2.0,$100.00,$75.00,$400.00,5,730,66
90%,,3.0,48.870329999999996,2.3715200000000003,Paris,75010,Ile-de-France,4,Entire home/apt,2.0,1.0,2.0,$105.00,$30.00,$300.00,2,20,59
100%,,1.0,48.872170000000004,2.36206,Paris,75010,Île-de-France,2,Entire home/apt,1.0,1.0,1.0,$80.00,$60.00,$500.00,120,1125,1
100%,,2.0,48.88282,2.33272,Paris,75009,Île-de-France,3,Entire home/apt,2.0,1.0,2.0,$110.00,,$200.00,2,15,3
100%,,2.0,48.88327,2.33292,Paris,75009,Île-de-France,1,Private room,1.0,1.5,1.0,$65.00,,,1,10,113
100%,,1.0,48.860929999999996,2.34254,Paris,75001,Ile-de-France,2,Entire home/apt,1.0,1.5,1.0,$250.00,,"$2,500.00",3,730,154
100%,,2.0,48.89001,2.34584,Paris,75018,Ile-de-France,4,Entire home/apt,1.0,1.0,2.0,$113.00,$49.00,$600.00,2,90,18
59%,,2.0,48.88308,2.33283,Paris,75009,Île-de-France,2,Entire home/apt,0.0,1.0,1.0,$49.00,$50.00,$100.00,7,1125,82
100%,,1.0,48.88565,2.35906,Paris,75018,Ile-de-France,3,Entire home/apt,1.0,1.0,2.0,$80.00,,$200.00,3,14,2
100%,,3.0,48.83872,2.35297,Paris,75005,Île-de-France,4,Entire home/apt,1.0,1.0,2.0,$98.00,$60.00,$300.00,2,90,192
74%,,45.0,48.8585,2.31423,Paris,75007,Ile-de-France,4,Entire home/apt,1.0,1.0,2.0,$145.00,$50.00,$200.00,5,90,216
100%,,3.0,48.839009999999995,2.35463,Paris,75005,Île-de-France,5,Entire home/apt,1.0,2.0,3.0,$120.00,$70.00,$300.00,2,90,500
100%,,7.0,48.84,2.40067,Paris,75012,Ile-de-France,5,Entire home/apt,2.0,1.0,3.0,$190.00,$50.00,$500.00,2,40,93
100%,,1.0,48.8938,2.33584,Paris,75018,Île-de-France,2,Private room,1.0,1.0,1.0,$55.00,$10.00,$0.00,1,10,85
100%,,3.0,48.83802,2.35446,Paris,75005,Île-de-France,3,Entire home/apt,0.0,1.0,2.0,$98.00,$55.00,$300.00,2,90,157
71%,,1.0,48.88691,2.3548299999999998,Paris,75018,Ile-de-France,4,Entire home/apt,2.0,1.0,2.0,$49.00,$40.00,$200.00,6,36,27
100%,,1.0,48.86631,2.35033,Paris,75002,Ile-de-France,2,Entire home/apt,1.0,1.0,1.0,$120.00,$40.00,$300.00,6,12,69
100%,,1.0,48.86524,2.34807,Paris,75002,Île-de-France,2,Entire home/apt,1.0,1.0,1.0,$63.00,$20.00,$210.00,7,372,133
100%,,1.0,48.871,2.32298,Paris,75008,Ile-de-France,2,Private room,1.0,1.0,1.0,$110.00,$40.00,$200.00,2,1125,33
,,2.0,48.85816,2.39974,Paris,75020,Île-de-France,6,Entire home/apt,2.0,2.0,3.0,$110.00,$50.00,$450.00,2,1125,9
100%,,1.0,48.85347,2.35073,Paris,75004,Île-de-France,2,Private room,1.0,1.5,2.0,$70.00,$20.00,$150.00,3,15,239
